Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3iHqUSg0LBRxAF5CzjBK9y,"3hN3iJMbbBmqBSAMx5veDa","La stella più fragile dell'universo","Peter Pan","Ultimo",2018-02-09,226000,55,spotify:user:gianvitot,2018-10-02T08:08:46Z,"italian adult pop,italian pop",0.584,0.261,7,-8.293,1,0.0569,0.912,0,0.134,0.34,137.354,4
4lPcR6ejSTXL9I7OsySWmV,"6pTrxLsUwhhpJyrEeEr4Bh","Burattino","Scudetto","Galeffi",2017-11-24,253402,25,spotify:user:gianvitot,2018-10-02T08:08:55Z,"italian indie pop,rome indie",0.515,0.65,7,-5.878,1,0.0394,0.0765,0,0.122,0.287,129.784,4
2pYrwe7wEOntKGTbXKTbCk,"5mTg1ztZByLRHsOEtwmT4G","IO ero io","Nel Caos Di Stanze Stupefacenti","Levante",2017-04-07,221693,27,spotify:user:gianvitot,2018-10-02T08:09:24Z,"italian adult pop,italian indie pop,italian pop,turin indie",0.593,0.459,8,-6.863,0,0.0261,0.634,0,0.0726,0.207,136.065,4
37Tmv4NnfQeb0ZgUC4fOJj,"0WwSkZ7LtFUFjGjMZBMt6T","Sultans Of Swing","Dire Straits","Dire Straits",1978-10-07,348400,81,spotify:user:gianvitot,2018-10-02T08:09:41Z,"album rock,classic rock,mellow gold,rock,soft rock",0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4
1bhpBRCLsVg3p7BWARbaDS,"0mXTJETA4XUa12MmmXxZJh","Rise","Into The Wild (Music For The Motion Picture)","Eddie Vedder",2007-09-18,156453,61,spotify:user:gianvitot,2018-10-02T08:14:20Z,"acoustic rock,permanent wave,rock",0.401,0.58,7,-6.86,1,0.0541,0.906,0.217,0.134,0.526,173.277,3
0mjT194sWauS2YBwxM2ZhS,"1Uff91EOsvd99rtAupatMP,5ejziTkhdpyMUJvawZWuS2","Suite Bergamasque: Clair de Lune","Darknesse Visible","Claude Debussy,Inon Barnatan",2012-04-23,314120,52,spotify:user:gianvitot,2018-10-02T08:14:56Z,"classical,impressionism,post-romantic era,israeli classical piano",0.375,0.00607,1,-29.405,1,0.0501,0.992,0.883,0.0562,0.0445,67.978,5
2LkaNhCrNVmcYgXJeLVmsw,"70cRZdQywnSFp9pnc2WTCE","The Sound of Silence","The Graduate","Simon & Garfunkel",1968-01-21,185440,1,spotify:user:gianvitot,2018-10-02T08:15:18Z,"classic rock,folk,folk rock,melancholia,mellow gold,rock",0.435,0.456,6,-10.305,1,0.0279,0.136,0.00000162,0.124,0.529,107.529,4
3cYgOAFB1HAUhC7b7U8viI,"3OsRAKCvk37zwYcnzRf5XF","Porcelain","Play & Play: The B Sides","Moby",1999-05-17,241173,44,spotify:user:gianvitot,2018-10-02T08:15:53Z,"downtempo,electronica",0.297,0.637,0,-7.926,0,0.0336,0.0014,0.18,0.247,0.332,94.73,4
612VcBshQcy4mpB2utGc3H,"6PAt558ZEZl0DmdXlnjMgD","Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster","Unplugged (Deluxe Edition)","Eric Clapton",1992-08-25,280000,75,spotify:user:gianvitot,2018-10-02T08:16:09Z,"album rock,blues rock,classic rock,electric blues,mellow gold,rock,soft rock",0.695,0.336,9,-12.999,1,0.0313,0.8,0.00264,0.701,0.422,79.109,4
2374M0fQpWi3dLnB54qaLX,"0PFtn5NtBbbUNbU9EAmIWF","Africa","Toto IV","TOTO",1982-04-08,295893,84,spotify:user:gianvitot,2018-10-02T08:16:15Z,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.671,0.373,9,-18.064,1,0.0323,0.257,0.0000801,0.0481,0.732,92.718,4
