﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3iHqUSg0LBRxAF5CzjBK9y","La stella più fragile dell'universo","Ultimo","Peter Pan","1","3","226000","spotify:user:gianvitot","2018-10-02T08:08:46Z"
"spotify:track:4lPcR6ejSTXL9I7OsySWmV","Burattino","Galeffi","Scudetto","1","9","253402","spotify:user:gianvitot","2018-10-02T08:08:55Z"
"spotify:track:2pYrwe7wEOntKGTbXKTbCk","IO ero io","Levante","Nel Caos Di Stanze Stupefacenti","1","5","221693","spotify:user:gianvitot","2018-10-02T08:09:24Z"
"spotify:track:37Tmv4NnfQeb0ZgUC4fOJj","Sultans Of Swing","Dire Straits","Dire Straits","1","6","348400","spotify:user:gianvitot","2018-10-02T08:09:41Z"
"spotify:track:1bhpBRCLsVg3p7BWARbaDS","Rise","Eddie Vedder","Into The Wild (Music For The Motion Picture)","1","4","156453","spotify:user:gianvitot","2018-10-02T08:14:20Z"
"spotify:track:0mjT194sWauS2YBwxM2ZhS","Suite Bergamasque: Clair de Lune","Claude Debussy, Inon Barnatan","Darknesse Visible","1","7","314120","spotify:user:gianvitot","2018-10-02T08:14:56Z"
"spotify:track:2LkaNhCrNVmcYgXJeLVmsw","The Sound of Silence","Simon & Garfunkel","The Graduate","1","1","185440","spotify:user:gianvitot","2018-10-02T08:15:18Z"
"spotify:track:0DAsxISzun85PbsqAfIzeC","Intro","The xx","xx","1","1","127920","spotify:user:gianvitot","2018-10-02T08:15:42Z"
"spotify:track:3cYgOAFB1HAUhC7b7U8viI","Porcelain","Moby","Play & Play: The B Sides","1","3","241173","spotify:user:gianvitot","2018-10-02T08:15:53Z"
"spotify:track:612VcBshQcy4mpB2utGc3H","Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster","Eric Clapton","Unplugged (Deluxe Edition)","1","4","280000","spotify:user:gianvitot","2018-10-02T08:16:09Z"
"spotify:track:2374M0fQpWi3dLnB54qaLX","Africa","TOTO","Toto IV","1","10","295893","spotify:user:gianvitot","2018-10-02T08:16:15Z"
"spotify:track:77vYwoC7e3pVoPq8BA9CuL","I Will Possess Your Heart","Death Cab for Cutie","Narrow Stairs","1","2","505773","spotify:user:gianvitot","2018-10-02T08:16:23Z"
"spotify:track:7o9uu2GDtVDr9nsR7ZRN73","Time After Time","Cyndi Lauper","She's So Unusual","1","4","241333","spotify:user:gianvitot","2018-10-02T08:16:32Z"
"spotify:track:0nbAKsTcygTNGU5dxO6y8f","Hoppípolla","Sigur Rós","Takk","1","3","268706","spotify:user:gianvitot","2018-10-02T08:16:42Z"
"spotify:track:2nMeu6UenVvwUktBCpLMK9","Young And Beautiful","Lana Del Rey","Young And Beautiful","1","1","236053","spotify:user:gianvitot","2018-10-02T08:16:53Z"
"spotify:track:2GAIycsMaDVtMtdvxzR2xI","Bohemian Rhapsody - 2011 Mix","Queen","Queen 40 Limited Edition Collector's Box Set","7","11","354320","spotify:user:gianvitot","2018-10-02T08:17:08Z"
"spotify:track:6By5EZtl0GKQuRZBZbk1LU","La Vie en rose","Édith Piaf","The Voice Of the Sparrow / The Very Best Of Edith Piaf (Domestic Only)","1","2","187666","spotify:user:gianvitot","2018-10-02T08:17:27Z"
"spotify:track:3SdTKo2uVsxFblQjpScoHy","Stand by Me","Ben E. King","Don't Play That Song (Mono)","1","7","180055","spotify:user:gianvitot","2018-10-02T08:17:33Z"
"spotify:track:6wNeKPXF0RDKyvfKfri5hf","Dollhouse","Melanie Martinez","Cry Baby (Deluxe Edition)","1","2","231853","spotify:user:gianvitot","2018-10-02T08:20:51Z"
"spotify:track:60eOMEt3WNVX1m1jmApmnX","Live in the Moment","Portugal. The Man","Woodstock","1","3","246786","spotify:user:gianvitot","2018-10-02T08:20:58Z"
"spotify:track:26yxV0knc0b1b9ggx3T7OD","Pianoforte A Vela","Clementino","Mea Culpa (Gold Edition)","1","12","247486","spotify:user:gianvitot","2018-10-02T08:21:32Z"
"spotify:track:4Musyaro0NM5Awx8b5c627","The Man Who Can't Be Moved","The Script","The Script","1","4","241466","spotify:user:gianvitot","2018-10-02T08:21:51Z"
"spotify:track:1x5sYLZiu9r5E43kMlt9f8","Symphony (feat. Zara Larsson)","Clean Bandit, Zara Larsson","Symphony (feat. Zara Larsson)","1","1","212459","spotify:user:gianvitot","2018-10-02T08:22:10Z"
"spotify:track:4stm6lf1vQBSl7Eq4Npzr0","Big City Life","Mattafix","Signs Of A Struggle","1","2","240893","spotify:user:gianvitot","2018-10-03T09:56:21Z"
"spotify:track:0l4clqQ4hCTKCRyqPCgjX7","All My Days","Alexi Murdoch","Away We Go Original Motion Picture Soundtrack","1","1","297306","spotify:user:gianvitot","2018-10-03T09:57:24Z"
"spotify:track:6fzcnVO0X2cpYjsHk19GJo","Sometimes You Can't Make It On Your Own","U2","How To Dismantle An Atomic Bomb","1","3","305080","spotify:user:gianvitot","2018-10-03T09:57:41Z"
"spotify:track:3laSUUt7DWRNjUeZeHOAv6","Cattive intenzioni","EDO","Cattive intenzioni","1","1","198278","spotify:user:gianvitot","2018-10-03T09:58:45Z"
"spotify:track:67XY71utwLqciyMKOBRYGO","Stay Close","Fireflight","Now","1","1","207560","spotify:user:gianvitot","2018-10-03T10:00:58Z"
"spotify:track:0YKDoBUfXObhiCu66qmSq3","My Demons","STARSET","Transmissions","1","7","288036","spotify:user:gianvitot","2018-10-03T10:01:07Z"
"spotify:track:3hxoYmSHzIBwSS2bPTOfbg","Misread","Kings of Convenience","Riot On An Empty Street","1","2","188400","spotify:user:gianvitot","2018-10-03T10:01:54Z"
"spotify:track:3JOVTQ5h8HGFnDdp4VT3MP","Mad World (Feat. Michael Andrews)","Gary Jules, Michael Andrews","Trading Snakeoil for Wolftickets","1","11","189506","spotify:user:gianvitot","2018-10-03T10:04:21Z"
"spotify:track:754kgU5rWscRTfvlsuEwFp","Kiss Me","Sixpence None The Richer","Sixpence None the Richer","1","4","208680","spotify:user:gianvitot","2018-10-03T10:11:18Z"
"spotify:track:7vLqyRAO6JQ9IXhd8ogQcp","Il bevitore longevo","Duo bucolico, Giacomo Toni","Bucolicesimo","1","9","211000","spotify:user:gianvitot","2018-10-03T13:32:16Z"
"spotify:track:4l2hnfUx0esSbITQa7iJt0","A Little Less Conversation - JXL Radio Edit Remix","Elvis Presley, JXL","Elvis 75 - Good Rockin' Tonight","4","19","211173","spotify:user:gianvitot","2018-10-03T13:59:34Z"
"spotify:track:1FTSo4v6BOZH9QxKc3MbVM","Song 2 - 2012 Remaster","Blur","Blur [Special Edition]","1","2","121160","spotify:user:gianvitot","2018-10-03T13:59:57Z"
"spotify:track:244AvzGQ4Ksa5637JQu5Gy","You've Got The Love","Florence + The Machine","Lungs (Deluxe Version)","1","13","168666","spotify:user:gianvitot","2018-10-04T09:40:45Z"
"spotify:track:2fAIfPLrPUTW1AmJRR428Q","Ruby","Kaiser Chiefs","Yours Truly, Angry Mob","1","1","204200","spotify:user:gianvitot","2018-10-04T09:40:57Z"
"spotify:track:3hfM7GfK9J0UqRS4VEyugl","Brielle","Sky Sailing","An Airplane Carried Me To Bed","1","2","246146","spotify:user:gianvitot","2018-10-06T15:10:51Z"
"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Riptide","Vance Joy","Dream Your Life Away","1","4","204280","spotify:user:gianvitot","2018-10-06T15:11:55Z"
"spotify:track:75JFxkI2RXiU7L9VXzMkle","The Scientist","Coldplay","A Rush of Blood to the Head","1","4","309600","spotify:user:gianvitot","2018-10-09T15:40:55Z"
"spotify:track:4b2tcjrG1qUkSdsqEFP2dB","Sun Is Shining","Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso","More Than You Know","1","7","254653","spotify:user:gianvitot","2018-10-11T08:58:16Z"
"spotify:track:6DDoFN7yNQmL2YXojqAk8S","L.I.F.E.G.O.E.S.O.N.","Noah And The Whale","Last Night On Earth","1","3","226946","spotify:user:gianvitot","2018-10-11T09:52:16Z"
"spotify:track:6si71supnBUhddjR2FJc2L","White Flag","Dido","Life For Rent","1","1","240040","spotify:user:gianvitot","2018-10-11T09:52:29Z"
"spotify:track:58zsLZPvfflaiIbNWoA22O","Human","Rag'n'Bone Man","Human (Deluxe)","1","1","200186","spotify:user:gianvitot","2018-10-11T14:19:07Z"
